Character,Pinyin,Tones,Meaning,Stroke Count,HSK Level,Length,Complexity
认识,rènshì,4-4,Know,11,1,2,3.043189117
我国,wǒguó,3-2,My country,15,1,2,3.952847075
这些,zhèxiē,4-1,These,15,1,2,3.952847075
人们,rénmen,2,People,7,2,2,4.433057636
个人,gèrén,4-2,Personal,5,3,2,5.511351921
不同,bùtóng,4-2,Different,10,2,2,5.656854249
作用,zuòyòng,4-4,Effect,12,2,2,6.526254669
方法,fāngfǎ,1-3,Method,12,2,2,6.526254669
目的,mùdì,4-4,Objective,13,2,2,6.976245409
条件,tiáojiàn,2-4,Condition,13,2,2,6.976245409
方面,fāngmiàn,1-4,Aspect,13,2,2,6.976245409
由于,yóuyú,2-2,Because,8,3,2,7.244860247
必须,bìxū,4-1,Must,14,2,2,7.436128025
主要,zhǔyào,3-4,Main,14,2,2,7.436128025
语言,yǔyán,3-2,Language,16,2,2,8.384748058
科学,kēxué,1-2,Science,17,2,2,8.873105432
产生,chǎnshēng,3-1,Produce,11,3,2,9.12956735
生产,shēngchǎn,1-3,Production,11,3,2,9.12956735
技术,jìshù,4-4,Technology,12,3,2,9.789382003
存在,cúnzài,2-4,Existence,12,3,2,9.789382003
因此,yīncǐ,1-3,Therefore,12,3,2,9.789382003
变化,biànhuà,4-4,Change,12,3,2,9.789382003
社会,shèhuì,4-4,Society,13,3,2,10.46436811
关系,guānxì,1-4,Relationship,13,3,2,10.46436811
形式,xíngshì,2-4,Form,13,3,2,10.46436811
形成,xíngchéng,2-2,Formation,13,3,2,10.46436811
之间,zhījiān,1-1,Between,9,4,2,10.47587705
问题,wèntí,4-2,Problem,21,2,2,10.91622645
具有,jùyǒu,4-3,Possess,14,3,2,11.15419204
新闻,xīnwén,1-2,News,22,2,2,11.44866804
发展,fāzhǎn,1-3,Development,15,3,2,11.85854123
工程,gōngchéng,1-2,Project,15,3,2,11.85854123
作为,zuòwéi,4-2,As,11,4,2,12.17275647
影响,yǐngxiǎng,3-3,Influence,24,2,2,12.53858046
价值,jiàzhí,4-2,Value,16,3,2,12.57712209
意义,yìyì,4-4,Significance,16,3,2,12.57712209
处理,chǔlǐ,3-3,Handle,16,3,2,12.57712209
基本,jīběn,1-3,Basic,16,3,2,12.57712209
历史,lìshǐ,4-3,History,9,5,2,13.09484631
经济,jīngjì,1-4,Economics,17,3,2,13.30965815
理论,lǐlùn,3-4,Theory,17,3,2,13.30965815
过程,guòchéng,4-2,Process,18,3,2,14.05588845
标准,biāozhǔn,1-3,Standard,19,3,2,14.81556614
就是,jiùshì,4-4,Precisely,21,3,2,16.37433968
系统,xìtǒng,4-3,System,16,4,2,16.76949612
研究,yánjiū,2-1,Research,16,4,2,16.76949612
结构,jiégòu,2-4,Structure,17,4,2,17.74621086
软件,ruǎnjiàn,3-4,Software,14,5,2,18.59032006
理解,lǐjiě,3-3,Understand,24,3,2,18.80787069
程序,chéngxù,2-4,Program,19,4,2,19.75408818
