Character,Pinyin,Tones,Meaning,Stroke Count,HSK Level,Length,Complexity
一下,yīxià,1-4,A little bit,4,1,2,1.656502339
什么,shénme,2-5,What,7,1,2,2.216528818
他们,tāmen,1-5,They,10,1,2,2.828427125
这个,zhège,4-5,This,10,1,2,2.828427125
地方,dìfāng,4-1,Place,10,1,2,2.828427125
因为,yīnwèi,1-4,Because,10,1,2,2.828427125
怎么,zěnme,3-5,How,12,1,2,3.263127334
你们,nǐmen,3-5,You (plural),12,1,2,3.263127334
出来,chūlai,1-5,Come,12,1,2,3.263127334
我们,wǒmen,3-5,We,12,1,2,3.263127334
没有,méiyǒu,2-3,Have not,13,1,2,3.488122704
这里,zhèlǐ,4-3,Here,14,1,2,3.718064012
现在,xiànzài,4-4,Now,14,1,2,3.718064012
这些,zhèxiē,4-1,These,15,1,2,3.952847075
还是,háishi,2-5,Still,16,1,2,4.192374029
起来,qǐlai,3-5,Get up,17,1,2,4.436552716
时候,shíhou,2-5,Time,17,1,2,4.436552716
知道,zhīdào,1-4,Know,20,1,2,5.196152423
觉得,juéde,2-5,Think,20,1,2,5.196152423
自己,zìjǐ,4-3,Own,9,2,2,5.237938526
可以,kěyǐ,3-3,Sure,9,2,2,5.237938526
这么,zhème,4-5,Such,10,2,2,5.656854249
已经,yǐjīng,3-1,Already,11,2,2,6.086378233
可是,kěshì,3-4,However,14,2,2,7.436128025
这样,zhèyàng,4-4,This way,17,2,2,8.873105432
就是,jiùshì,4-4,Precisely,21,3,2,16.37433968
