Character,Pinyin,Tones,Meaning,Stroke Count,HSK Level,Length,Complexity
了,le,0,Past tense article,1,1,1,1.074099499
一,yī,1,one,1,1,1,1.074099499
二,èr,4,two,2,1,1,1.146531351
七,qī,1,seven,2,1,1,1.146531351
个,gè,4,general measure word,2,1,1,1.146531351
十,shí,2,ten,2,1,1,1.146531351
几,jǐ,3,"a few, how many",2,1,1,1.146531351
八,bā,1,eight,2,1,1,1.146531351
人,rén,2,person,2,1,1,1.146531351
九,jiǔ,3,nine,2,1,1,1.146531351
上,shàng,4,up / before,3,1,1,1.217467886
三,sān,1,three,3,1,1,1.217467886
小,xiǎo,3,small,3,1,1,1.217467886
大,dà,4,big,3,1,1,1.217467886
不,bù,4,no,3,1,1,1.217467886
下,xià,4,down / after,3,1,1,1.217467886
太,tài,4,too,4,1,1,1.287051801
五,wǔ,3,five,4,1,1,1.287051801
书,shū,1,book,4,1,1,1.287051801
月,yuè,4,month,4,1,1,1.287051801
水,shuǐ,3,water,4,1,1,1.287051801
六,liù,4,six,4,1,1,1.287051801
开,kāi,1,"open, start",4,1,1,1.287051801
少,shǎo,3,few,4,1,1,1.287051801
本,běn,3,books measure word,5,1,1,1.355403005
四,sì,4,four,5,1,1,1.355403005
写,xiě,3,write,5,1,1,1.355403005
她,tā,1,she/her,5,1,1,1.355403005
他,tā,1,he/ him,5,1,1,1.355403005
号,hào,4,number/date,5,1,1,1.355403005
叫,jiào,4,call,5,1,1,1.355403005
去,qù,4,go,5,1,1,1.355403005
在,zài,4,"in, at",6,1,1,1.422623528
多,duō,1,"many, much",6,1,1,1.422623528
这 (这儿),zhè,4,this (here),6,1,1,1.422623528
年,nián,2,year,6,1,1,1.422623528
吗,ma,0,Question particle,6,1,1,1.422623528
买,mǎi,3,buy,6,1,1,1.422623528
岁,suì,4,age measure word ,6,1,1,1.422623528
有,yǒu,3,have,6,1,1,1.422623528
好,hǎo,3,good,6,1,1,1.422623528
字,zì,4,character,6,1,1,1.422623528
会,huì,4,can,6,1,1,1.422623528
吃,chī,1,eat,6,1,1,1.422623528
回,huí,2,return,6,1,1,1.422623528
那 (那儿),nà (nàr),4,that (there),6,1,1,1.422623528
块,kuài,4,"piece, chunk",7,1,1,1.488801134
冷,lěng,3,cold,7,1,1,1.488801134
没,méi,2,no,7,1,1,1.488801134
坐,zuò,4,sit,7,1,1,1.488801134
住,zhù,4,live,7,1,1,1.488801134
听,tīng,1,listen,7,1,1,1.488801134
你,nǐ,3,you,7,1,1,1.488801134
我,wǒ,3,I,7,1,1,1.488801134
来,lái,2,come,7,1,1,1.488801134
的,de,0,Possessive article,8,1,1,1.554012038
呢,ne,0,Exclamatory article,8,1,1,1.554012038
些,xiē,1,some,8,1,1,1.554012038
和,hé,2,and,8,1,1,1.554012038
狗,gǒu,3,dog,8,1,1,1.554012038
很,hěn,3,very,9,1,1,1.618322979
茶,chá,2,tea,9,1,1,1.618322979
点,diǎn,3,o’clock,9,1,1,1.618322979
看,kàn,4,look,9,1,1,1.618322979
哪,nǎ,3,which,9,1,1,1.618322979
是,shì,4,"be (am, is, are)",9,1,1,1.618322979
说,shuō,1,speak,9,1,1,1.618322979
都,dōu,1,all,10,1,1,1.681792831
家,jiā,1,home,10,1,1,1.681792831
请,qǐng,3,please,10,1,1,1.681792831
热,rè,4,hot,10,1,1,1.681792831
爱,ài,4,love,10,1,1,1.681792831
谁,shéi,2,who,10,1,1,1.681792831
读,dú,2,read,10,1,1,1.681792831
能,néng,2,possible,10,1,1,1.681792831
钱,qián,2,money,10,1,1,1.681792831
菜,cài,4,dish,11,1,1,1.74447388
猫,māo,1,cat,11,1,1,1.74447388
做,zuò,4,do,11,1,1,1.74447388
喂,wèi,4,Hey,12,1,1,1.806412836
喝,hē,1,drink,12,1,1,1.806412836
想,xiǎng,3,want,13,1,1,1.867651655
儿子,érzi,2-0,son,5,1,2,2.490034319
女儿,nǚér,3-2,daughter,5,1,2,2.490034319
