Character,Pinyin,Tones,Meaning,Stroke Count,HSK Level,Length,Complexity
今天,jīntiān,1-1,Today,8,1,2,2.414953416
日本,Rìběn,4-3,Japan,9,1,2,2.618969263
一些,yīxiē,1-1,Some,9,1,2,2.618969263
他们,tāmen,1-5,Them,10,1,2,2.828427125
今年,jīnnián,1-2,Year,10,1,2,2.828427125
去年,qùnián,4-2,Last year,11,1,2,3.043189117
我们,wǒmen,3-5,We,12,1,2,3.263127334
我国,wǒguó,3-2,My country,15,1,2,3.952847075
人们,rénmen,2-5,People,7,2,2,4.433057636
美国,Měiguó,3-2,America,17,1,2,4.436552716
国家,guójiā,2-1,Country,18,1,2,4.685296149
为了,wèile,4-5,In order to,6,3,2,6.071573108
人民,rénmín,2-2,People,7,3,2,6.649586453
北京,Běijīng,3-1,Beijing,13,2,2,6.976245409
工业,gōngyè,1-4,Industry,8,3,2,7.244860247
全国,quánguó,2-2,Nationwide,14,2,2,7.436128025
必须,bìxū,4-1,Must,14,2,2,7.436128025
开发,kāifā,1-1,Development,9,3,2,7.856907789
国际,guójì,2-4,International,15,2,2,7.90569415
地区,dìqū,4-1,Region,10,3,2,8.485281374
深圳,Shēnzhèn,1-4,Shenzhen,17,2,2,8.873105432
提出,tíchū,2-1,Propose,17,2,2,8.873105432
会议,huìyì,4-4,Meeting,11,3,2,9.12956735
生产,shēngchǎn,1-3,Production,11,3,2,9.12956735
开放,kāifàng,1-4,To open up,12,3,2,9.789382003
记者,jìzhě,4-3,Reporter,13,3,2,10.46436811
关系,guānxì,1-4,Relationship,13,3,2,10.46436811
问题,wèntí,4-2,Problem,21,2,2,10.91622645
建设,jiànshè,4-4,Build,14,3,2,11.15419204
世界,shìjiè,4-4,World,14,3,2,11.15419204
统一,tǒngyī,3-1,Unified,10,4,2,11.3137085
发展,fāzhǎn,1-3,Develop,15,3,2,11.85854123
企业,qǐyè,3-4,Enterprise,11,4,2,12.17275647
民族,mínzú,2-2,Chinese citizens,16,3,2,12.57712209
坚持,jiānchí,1-2,Insist,16,3,2,12.57712209
经济,jīngjì,1-4,Economy,17,3,2,13.30965815
领导,lǐngdǎo,3-3,Leader,17,3,2,13.30965815
制度,zhìdù,4-4,System,17,3,2,13.30965815
加强,jiāqiáng,1-2,Strengthen,17,3,2,13.30965815
解决,jiějué,3-2,Solve,19,3,2,14.81556614
就是,jiùshì,4-4,Precisely,21,3,2,16.37433968
环境,huánjìng,2-4,Environment,22,3,2,17.17300207
干部,gànbù,4-4,Cadre,13,5,2,17.44061352
政治,zhèngzhì,4-4,Politics,17,4,2,17.74621086
政府,zhèngfǔ,4-3,Government,17,4,2,17.74621086
精神,jīngshén,1-2,Spirit,23,3,2,17.9842431
改革,gǎigé,3-2,Reform,16,5,2,20.96187015
政策,zhèngcè,4-4,Policy,21,4,2,21.83245291
稳定,wěndìng,3-4,Stable,22,4,2,22.89733609
群众,qúnzhòng,2-4,The masses,19,5,2,24.69261023
